loyalty_id,store_id,state,upc,product_name,lot_code,purchase_date,quantity
f9e2eff0-479d-4d70-b37e-c8c809056e40,FL-1248,FL,610163406023,Folgers Classic Roast Coffee,L-4532,2026-08-01,4
71740eb2-f501-47f3-90a9-a4867d98f67b,AL-6584,AL,610163406023,Folgers Classic Roast Coffee,L-1324,2026-05-09,1
163746ff-1aec-4d7c-9fd8-3046453c6f63,AR-5755,AR,808049347754,Nature Valley Granola Bars,L-4260,2026-04-22,3
c07b555e-86d7-4f10-b89b-b21275b9a199,TN-7753,TN,680261188425,"Great Value 2% Milk, Gallon",L-6480,2026-05-11,3
578c6794-f059-4564-8786-ae7866dde6d8,NM-8715,NM,610163406023,Folgers Classic Roast Coffee,337807,2026-05-09,4
5ba04377-dd5b-4266-a08a-2298c49cae11,LA-6972,LA,680261188425,"Great Value 2% Milk, Gallon",L-4532,2026-07-24,2
c3c512af-63cd-48a5-9eb6-6dd915904c44,GA-8300,GA,889391736613,Wonder Bread Classic White,L-4532,2026-07-08,3
79f6f829-2297-4641-adb2-74f9c840fd5c,GA-7588,GA,653374520407,"Land O'Lakes Butter, 1lb",L-7111,2026-06-10,3
58995efc-b401-4654-b685-c43e967c229a,OK-2808,OK,701993641404,Blue Bell Vanilla Ice Cream,L-4260,2026-04-14,1
67f6a135-1573-4a4f-92d9-46ca01cc6a65,GA-1897,GA,808049347754,Nature Valley Granola Bars,337807,2026-05-01,2
5c03368d-314e-4a47-94df-5ab46b36d49f,AL-4834,AL,653374520407,"Land O'Lakes Butter, 1lb",L-4260,2026-06-10,1
419cb3a9-c8e7-44ab-a1a5-c169233bb875,MS-1010,MS,889391736613,Wonder Bread Classic White,L-6480,2026-06-14,3
8d8d3e9a-b623-463d-bbfa-d4416621cf3d,CA-1157,CA,610163406023,Folgers Classic Roast Coffee,250347,2026-05-18,4
85f6ab40-dda1-4465-9e8b-bb5d8679716d,AL-3082,AL,680261188425,"Great Value 2% Milk, Gallon",L-4532,2026-07-25,2
5690fb25-a801-4438-a7a9-12c3a34aeb7c,AL-7742,AL,889391736613,Wonder Bread Classic White,L-5740,2026-07-10,1
90bb61f9-0ba3-460f-bef7-d639933c4daf,AL-5007,AL,382652812974,"Chobani Greek Yogurt, 32oz",L-7111,2026-06-17,1
3beb3024-48e6-40cf-8a79-fb367101d276,FL-2073,FL,889391736613,Wonder Bread Classic White,L-7111,2026-06-13,3
246a259f-1b1c-4cde-9b99-9652dcfbc9fc,FL-8673,FL,889391736613,Wonder Bread Classic White,250347,2026-08-08,3
8358bea7-0843-444b-8a63-1f1b8fce7cfd,LA-4276,LA,875113329103,"Tyson Chicken Breast, Family Pack",L-4532,2026-04-29,4
4e8f3ec6-aec8-4016-ade1-455cede7cad2,MO-1509,MO,808049347754,Nature Valley Granola Bars,L-5740,2026-08-03,3
a470674c-0a01-4615-839b-20e61f426ea6,TX-3694,TX,382652812974,"Chobani Greek Yogurt, 32oz",L-4532,2026-06-26,3
b0b30fb7-b534-4f54-a709-6386c56bff99,FL-4802,FL,889391736613,Wonder Bread Classic White,L-4260,2026-05-18,3
552b0fbf-faa1-4089-ac6a-401a85e4996b,NM-4441,NM,701993641404,Blue Bell Vanilla Ice Cream,406635,2026-08-01,3
320bfaff-96ff-4d9f-8b5c-f758ae88c0a5,LA-7002,LA,808049347754,Nature Valley Granola Bars,L-4260,2026-07-12,2
d874e96e-27a2-450e-a901-7fa5ea8d95cc,TX-4228,TX,701993641404,Blue Bell Vanilla Ice Cream,192729,2026-07-01,3
7a14da8c-9cb7-4df3-9bd6-2dc9c3524268,GA-3053,GA,382652812974,"Chobani Greek Yogurt, 32oz",192729,2026-07-25,2
4c6214b6-bed7-44cf-b7fd-2149acb7f7ca,TN-6117,TN,610163406023,Folgers Classic Roast Coffee,337807,2026-07-29,3
08382f11-2ce5-49d5-b776-e86ec2339093,AL-5878,AL,701993641404,Blue Bell Vanilla Ice Cream,L-4532,2026-07-09,3
afd19c81-1a52-4e53-bc62-78a152fe2dde,AR-3835,AR,875113329103,"Tyson Chicken Breast, Family Pack",L-7111,2026-08-04,3
946fb7f6-12b5-47d2-8aa5-9ca78709d7aa,AR-3916,AR,701993641404,Blue Bell Vanilla Ice Cream,L-5740,2026-04-07,1
4e1fa821-2f6d-467e-85c1-a5f86d6251bd,CA-7239,CA,610163406023,Folgers Classic Roast Coffee,L-1324,2026-04-26,1
3a17a24a-d915-4ae8-9450-e87289195a65,AR-7156,AR,653374520407,"Land O'Lakes Butter, 1lb",L-4532,2026-04-17,3
425bec80-9d10-4e1a-8219-3363c5ad801a,CA-1144,CA,701993641404,Blue Bell Vanilla Ice Cream,L-7111,2026-08-11,2
a892d657-9982-4073-9e23-38017e2319c0,FL-9951,FL,701993641404,Blue Bell Vanilla Ice Cream,L-5740,2026-06-15,3
61d5265e-7c6e-4071-892a-2708834b4f10,CA-5851,CA,680261188425,"Great Value 2% Milk, Gallon",L-6480,2026-07-15,4
23e9a9c0-6f8d-48e5-956a-749a6d9176ca,AL-5075,AL,889391736613,Wonder Bread Classic White,L-5740,2026-05-12,2
e40d6702-8426-4632-a9fc-7f8438e87fc6,MO-1209,MO,610163406023,Folgers Classic Roast Coffee,L-5740,2026-04-15,1
